seg. 08/02,Arcrebiano,Arthur,Caio,Camilla,Carla,Fiuk,Gilberto,João,Juliette,Karol,Lumena,Nego Di,Pocah,Projota,Rodolffo,Sarah,Thaís,Viih
Arcrebiano,,🍌,💖,💔,🍌,😀,💖,😀,😀,🤮,🤮,🐍,🌱,🐍,💖,💖,🌱,😀
Arthur,💖,,💖,💖,💖,😀,😀,💖,😀,💖,💖,💖,💖,💖,💖,😀,😀,💖
Caio,💖,💖,,💖,💖,😀,😀,💖,😀,😀,😀,😀,💖,😀,😀,😀,💖,💖
Camilla,💣,😀,😀,,💖,😀,💖,💖,💖,💖,😀,💖,💖,💖,💖,😀,💖,💖
Carla,🍌,💖,💖,💖,,😀,💖,💖,😀,💔,😀,🐍,😀,😀,💖,💖,💖,💖
Fiuk,😀,😀,💖,💖,😀,,💖,💖,😀,💖,💖,💖,💖,💖,😀,😀,💖,💖
Gilberto,💖,🤮,💖,💖,💖,💖,,💖,💖,🤮,💔,🐍,💖,🤮,😀,💖,💖,💖
João,😀,😀,💖,💖,💖,💖,💖,,💖,💖,💖,😀,💖,😀,💖,💖,💖,💖
Juliette,😡,😀,😡,💖,💖,😡,💖,💖,,💣,😡,😡,💖,😡,😡,💖,😀,💖
Karol,🤮,💖,💖,💖,💖,💖,🐍,💖,💖,,💖,💖,💖,💖,💖,😀,💖,💖
Lumena,🤮,😀,😀,🤮,😀,💖,🤮,😀,🤮,💖,,😀,🌱,😀,💖,💣,😀,🤮
Nego Di,💔,💖,💖,💖,😀,💖,💣,💖,💣,💖,💖,,💖,💖,😀,💣,💖,💖
Pocah,💣,😀,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,,💖,😀,😀,💖,💖
Projota,🌱,💖,💖,💖,💖,😀,🍌,💖,🐍,💖,💖,💖,💖,,💖,🤮,💖,💖
Rodolffo,💖,💖,💖,💖,💖,😀,😀,💖,💖,💖,💖,💖,💖,💖,,💖,💖,💖
Sarah,💖,🍌,💖,😀,😀,💖,💖,💖,😀,🐍,💣,🐍,😀,🤮,💖,,💖,💖
Thaís,😀,😀,💖,💖,💖,😀,💖,💖,💖,😀,💖,💖,💖,💖,💖,💖,,💖
Viih,😀,💖,💖,💖,💖,💖,💖,💖,💖,😀,💔,💖,💖,💖,💖,💖,💖,
