sáb. 20/02,Arthur,Caio,Camilla,Carla,Fiuk,Gilberto,João,Juliette,Karol,Lumena,Pocah,Projota,Rodolffo,Sarah,Thaís,Viih
Arthur,,😀,💖,💖,🍌,😀,💖,💖,💖,💖,💖,💖,😀,💖,😀,💖
Caio,💖,,💖,💖,😀,💖,💖,💖,💖,💖,💖,😀,💖,💖,💖,💖
Camilla,💖,😀,,💖,💖,💖,💖,💖,😀,😀,😀,💖,😀,💖,💖,💖
Carla,💖,💖,💖,,😀,💖,💖,💖,💔,💣,💖,💖,😀,💖,💖,💖
Fiuk,💣,💖,💖,💖,,💖,💖,💖,💖,💖,💖,💖,😀,💖,💖,💖
Gilberto,🐍,💖,💖,💖,💖,,💖,💖,😀,💖,😀,😀,💖,💖,💖,💖
João,😀,💖,💖,💖,😀,💖,,💖,💖,😀,💖,😀,😀,💖,💖,💖
Juliette,😀,💖,💖,💖,💖,💖,💖,,💣,💔,💔,😀,💖,💖,💖,💖
Karol,💖,💖,😀,😀,💖,💖,💖,😀,,💖,💖,💖,💖,😀,💖,💖
Lumena,😀,💖,😀,💣,💖,💖,💖,😀,💖,,💖,💖,😀,😀,😀,😀
Pocah,😀,💖,💖,💖,💖,😀,💖,💣,💖,💖,,💖,😀,😀,💖,💖
Projota,💖,💖,💖,💖,💖,😀,😀,😀,😀,💖,💖,,💖,😀,💖,💖
Rodolffo,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,,💖,💖,💖
Sarah,😀,💖,💖,💖,💖,💖,💖,💖,😀,😀,😀,😀,💖,,💖,💖
Thaís,😀,💖,💖,💖,😀,💖,💖,💖,💖,💖,💖,💖,😀,💖,,💖
Viih,💖,💖,💖,💖,💖,💖,💖,💖,😀,💖,💖,💖,😀,💖,💖,
