sáb. 30/01,Arcrebiano,Arthur,Caio,Camilla,Carla,Fiuk,Gilberto,João,Juliette,Karol,Kerline,Lucas,Lumena,Nego Di,Pocah,Projota,Rodolffo,Sarah,Thaís,Viih
Arcrebiano,,💖,💖,😀,💖,💖,💖,💖,😀,💖,😀,🤮,💖,💖,😀,💖,💖,😀,😀,💖
Arthur,💖,,💖,💖,💖,💖,💖,💖,💖,💖,💖,😡,💖,💖,💖,💖,💖,💖,💖,💖
Caio,💖,💖,,😀,💖,😀,💖,💖,😀,💖,💖,😀,💖,💖,💖,💖,💖,💖,💖,💖
Camilla,😀,💖,😀,,💖,😀,💖,💖,😀,💖,😀,🤮,😀,💖,💖,💖,😀,😀,💖,😀
Carla,💖,💖,😀,💖,,💖,💖,💖,😀,💖,💖,😡,😀,💖,💖,💖,😀,😀,💖,💖
Fiuk,😀,😀,😀,😀,😀,,😀,😀,💣,😀,💣,💔,💖,😀,😀,😀,😀,😀,😀,😀
Gilberto,💖,💖,💖,💖,💖,💖,,💖,💖,💖,💖,🤮,💔,💖,💖,💖,😀,💖,💖,💖
João,😀,😀,💖,💖,💖,😀,💖,,😀,💖,😀,💖,😀,💖,💖,💖,😀,😀,💖,💖
Juliette,💖,💖,💖,💖,💖,💔,💖,💖,,💖,💖,💔,💔,💔,💖,💖,💖,💖,💖,💖
Karol,💖,💖,💖,💖,💖,💖,💖,💖,💣,,💖,🤮,💖,💖,💖,💖,😀,😀,💖,💖
Kerline,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,,💖,💖,💖,💖,💖,💖,💖,💖,💖
Lucas,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,,💖,💖,💖,💖,💖,💖,💖,💖
Lumena,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,,💖,💖,💖,💖,💖,💖,💖
Nego Di,💖,💖,💖,💖,💖,😀,😀,💖,😀,💖,😀,💔,💖,,💖,💖,😀,😀,😀,💖
Pocah,😀,😀,💖,💖,💖,😀,💖,💖,😀,💖,😀,💔,💖,💖,,💖,💖,😀,💖,💖
Projota,💖,💖,💖,💖,😀,💖,💖,💖,😀,💖,💖,💔,💖,💖,💖,,😀,😀,😀,💖
Rodolffo,💖,💖,💖,💖,💖,😀,💖,💖,💖,💖,💖,😀,😀,💖,💖,💖,,💖,💖,💖
Sarah,💖,💖,💖,😀,💖,😀,💖,😀,💖,💖,💖,💖,😀,😀,😀,💖,💖,,💖,💖
Thaís,😀,😀,😀,💖,💖,😀,💖,💖,😀,💖,💖,🐍,😀,😀,💖,😀,😀,💖,,😀
Viih,😀,💖,😀,😀,💖,💖,💖,💖,💖,💖,😀,😀,💖,💖,💖,💖,😀,😀,😀,
