qua. 17/03,Arthur,Caio,Camilla,Carla,Fiuk,Gilberto,João,Juliette,Pocah,Rodolffo,Sarah,Thaís,Viih
Arthur,,💖,💖,💖,😀,💖,💖,💖,💖,💖,💖,😀,💖
Caio,💖,,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖
Camilla,💖,💖,,💖,💖,💖,💖,💖,💖,💖,💖,💖,💖
Carla,💖,😀,💖,,💖,😀,💖,💖,💖,😀,😀,💖,💖
Fiuk,😀,💖,💖,💖,,💖,💖,💖,💖,💖,💖,💖,💖
Gilberto,💖,😀,💖,😀,💖,,💖,😀,😀,😀,💖,💖,🐍
João,💖,💖,💖,💖,💖,💖,,💖,💖,😀,💖,💖,💖
Juliette,💖,💖,💖,💖,💣,💖,💖,,💖,💖,💖,💖,💖
Pocah,💖,💖,💖,💖,💖,😀,💖,💖,,💖,💖,💖,💖
Rodolffo,💖,💖,💖,💖,💖,💖,💖,💖,💖,,💖,💖,💖
Sarah,💖,💖,💖,😀,💖,💖,💖,😀,💖,💖,,💖,😀
Thaís,😀,😀,💖,💖,💖,💖,💖,💖,💖,😀,😀,,💖
Viih,💖,💖,💖,💖,💖,😀,💖,💖,💖,💖,💖,💖,
