,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,
,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão,Semana,Grupo,Imune,Indicação,Paredão
Arthur,Monstro,Xepa,X,Camilla,,Líder,VIP,X,Gilberto,,,VIP,,Fiuk,,,Xepa,,Gilberto,X,,Xepa,,Thaís,X,Anjo,Xepa,,Juliette,X,,Xepa,X,Thaís,,Monstro,Xepa,,,
Caio,,Xepa,X,Camilla,,,VIP,,Fiuk,,Anjo,Xepa,,Fiuk,,Anjo,VIP,,Camilla,,Anjo,Xepa,X,Camilla,,,VIP,,Camilla,X,,VIP,,Thaís,,,Xepa,,,
Camilla,,VIP,,Arcrebiano,,,Xepa,X,Arcrebiano,,Monstro,Xepa,,Caio,,,Xepa,,Projota,,,VIP,,Arthur,,,Xepa,,Caio,,,VIP,,Caio,,,Xepa,,,
Carla,,Xepa,,Arcrebiano,,Anjo,VIP,,Arcrebiano,,,VIP,,Lumena,,,Xepa,,Lumena,,,VIP,,Gilberto,,,Xepa,,Caio,X,,Xepa,,Gilberto,,,Xepa,,,
Fiuk,,Xepa,X,Carla,,,Xepa,,Arcrebiano,,Monstro,Xepa,,Arthur,X,,VIP,,Carla,,,Xepa,,Arthur,,Monstro,Xepa,,Arthur,,Líder,VIP,X,Projota,,,VIP,,,
Gilberto,,VIP,,Arcrebiano,,Monstro,Xepa,,Lumena,X,,Xepa,,Arthur,,,VIP,,Projota,X,,Xepa,,Pocah,,,VIP,,Pocah,,,VIP,,Pocah,,Líder,VIP,X,,
João,,VIP,,Arcrebiano,,,Xepa,,Arcrebiano,,,Xepa,,Projota,,,Xepa,,Projota,,Líder,VIP,X,Projota,,,VIP,,Arthur,X,Monstro,Xepa,,Pocah,,,Xepa,,,
Juliette,,Xepa,X,Thaís,,,Xepa,,Nego Di,X,,Xepa,,Lumena,,,VIP,,Lumena,,,Xepa,,Arthur,,Monstro,VIP,,Arthur,,,Xepa,,Pocah,,,VIP,,,
Pocah,,VIP,,Arcrebiano,,,Xepa,,Arcrebiano,,,VIP,,Gilberto,,,Xepa,,Gilberto,,Monstro,Xepa,,Sarah,,,Xepa,,Fiuk,,,Xepa,,Gilberto,X,,VIP,,,
Rodolffo,Anjo,Xepa,,João,X,,Xepa,,Fiuk,,,Xepa,X,Fiuk,,,VIP,X,João,,,Xepa,,Carla,,Líder,VIP,X,Carla,,,VIP,,Thaís,,Monstro,VIP,,,
Sarah,,Xepa,,João,X,,Xepa,X,Lumena,,,Xepa,,Fiuk,X,Líder,VIP,X,Karol,,,VIP,,Pocah,,,VIP,,Pocah,,Monstro,VIP,,Pocah,,,VIP,,,
Thaís,,Xepa,,Arcrebiano,,,Xepa,X,Arcrebiano,,,Xepa,,Projota,,Monstro,Xepa,,Projota,,,VIP,,Arthur,,,Xepa,,Arthur,,,Xepa,,Gilberto,X,,Xepa,,,
Viih,,VIP,X,Arcrebiano,,,VIP,,Lumena,,,Xepa,,Fiuk,,Monstro,Xepa,,Projota,,,VIP,,Arthur,,,VIP,,Pocah,,,Xepa,,Gilberto,,Anjo,Xepa,,,
Projota,,VIP,X,Thaís,,,VIP,,Arcrebiano,,,VIP,,Thaís,,,Xepa,,Gilberto,,Monstro,Xepa,,Thaís,X,,Xepa,,Thaís,,Anjo,Xepa,,Thaís,X,,,,,
Lumena,,VIP,X,Thaís,,,VIP,,Arcrebiano,,,VIP,,Juliette,,,Xepa,,Carla,,,VIP,,Arthur,X,,,,,,,,,,,,,,,
Karol,,VIP,,Carla,,,VIP,,Arcrebiano,,Líder,VIP,X,Sarah,,,Xepa,,Gilberto,X,,,,,,,,,,,,,,,,,,,,
Nego Di,Líder,VIP,X,Kerline,,,VIP,,Carla,,,VIP,,Juliette,X,,,,,,,,,,,,,,,,,,,,,,,,,
Arcrebiano,Monstro,Xepa,,Camilla,,,VIP,,Lumena,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas,,VIP,X,Carla,,Monstro,Xepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerline,,Xepa,,Arcrebiano,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
